147,FUZZY-REQUIREMENTS::ATM13-3-attrib
148,FUZZY-REQUIREMENTS::ATM13-4-attrib
149,FUZZY-REQUIREMENTS::ATM13-5-attrib
150,FUZZY-REQUIREMENTS::ATM14-1-attrib
151,FUZZY-REQUIREMENTS::ATM14-2-attrib
152,FUZZY-REQUIREMENTS::ATM15-1-attrib
153,FUZZY-REQUIREMENTS::ATM15-2-attrib
154,FUZZY-REQUIREMENTS::ATM15-3-attrib
155,FUZZY-REQUIREMENTS::ATM15-4-attrib
156,FUZZY-REQUIREMENTS::ATM15-5-attrib
157,FUZZY-REQUIREMENTS::ATM15-6-attrib
158,FUZZY-REQUIREMENTS::ATM15-7-attrib
159,FUZZY-REQUIREMENTS::ATM15-8-attrib
160,FUZZY-REQUIREMENTS::ATM15-9-attrib
161,FUZZY-REQUIREMENTS::ATM16-1-attrib
162,FUZZY-REQUIREMENTS::ATM16-2-attrib
163,FUZZY-REQUIREMENTS::ATM2-1-attrib
164,FUZZY-REQUIREMENTS::ATM2-2-attrib
165,FUZZY-REQUIREMENTS::ATM3-1-attrib
166,FUZZY-REQUIREMENTS::ATM4-1-attrib
167,FUZZY-REQUIREMENTS::ATM5-1-attrib
168,FUZZY-REQUIREMENTS::ATM6-1-attrib
169,FUZZY-REQUIREMENTS::ATM6-2-attrib
170,FUZZY-REQUIREMENTS::ATM7-1-attrib
171,FUZZY-REQUIREMENTS::ATM7-2-attrib
172,FUZZY-REQUIREMENTS::ATM7-3-attrib
173,FUZZY-REQUIREMENTS::ATM8-1-attrib
174,FUZZY-REQUIREMENTS::ATM8-2-attrib
175,FUZZY-REQUIREMENTS::ATM8-3-attrib
176,FUZZY-REQUIREMENTS::ATM8-4-attrib
177,FUZZY-REQUIREMENTS::ATM8-5-attrib
178,FUZZY-REQUIREMENTS::ATM8-6-attrib
179,FUZZY-REQUIREMENTS::ATM8-7-attrib
180,FUZZY-REQUIREMENTS::ATM8-8-attrib
181,FUZZY-REQUIREMENTS::ATM9-1-attrib
182,FUZZY-REQUIREMENTS::ATM9-2-attrib
183,FUZZY-REQUIREMENTS::ATM9-3-attrib
184,FUZZY-REQUIREMENTS::ATM9-4-attrib
185,FUZZY-REQUIREMENTS::OCE1-1-attrib
186,FUZZY-REQUIREMENTS::OCE10-1-attrib
187,FUZZY-REQUIREMENTS::OCE11-1-attrib
188,FUZZY-REQUIREMENTS::OCE12-1-attrib
189,FUZZY-REQUIREMENTS::OCE13-1-attrib
190,FUZZY-REQUIREMENTS::OCE14-1-attrib
191,FUZZY-REQUIREMENTS::OCE15-1-attrib
192,FUZZY-REQUIREMENTS::OCE16-1-attrib
193,FUZZY-REQUIREMENTS::OCE17-1-attrib
194,FUZZY-REQUIREMENTS::OCE18-1-attrib
195,FUZZY-REQUIREMENTS::OCE2-1-attrib
196,FUZZY-REQUIREMENTS::OCE3-1-attrib
197,FUZZY-REQUIREMENTS::OCE4-1-attrib
198,FUZZY-REQUIREMENTS::OCE4-2-attrib
199,FUZZY-REQUIREMENTS::OCE5-1-attrib
200,FUZZY-REQUIREMENTS::OCE6-1-attrib
201,FUZZY-REQUIREMENTS::OCE7-1-attrib
202,FUZZY-REQUIREMENTS::OCE7-2-attrib
203,FUZZY-REQUIREMENTS::OCE7-3-attrib
204,FUZZY-REQUIREMENTS::OCE8-1-attrib
205,FUZZY-REQUIREMENTS::OCE9-1-attrib
206,FUZZY-REQUIREMENTS::TER1-1-attrib
207,FUZZY-REQUIREMENTS::TER10-1-attrib
208,FUZZY-REQUIREMENTS::TER11-1-attrib
209,FUZZY-REQUIREMENTS::TER12-1-attrib
210,FUZZY-REQUIREMENTS::TER13-1-attrib
211,FUZZY-REQUIREMENTS::TER14-1-attrib
212,FUZZY-REQUIREMENTS::TER15-1-attrib
213,FUZZY-REQUIREMENTS::TER15-2-attrib
214,FUZZY-REQUIREMENTS::TER15-3-attrib
215,FUZZY-REQUIREMENTS::TER16-1-attrib
216,FUZZY-REQUIREMENTS::TER2-1-attrib
217,FUZZY-REQUIREMENTS::TER2-2-attrib
218,FUZZY-REQUIREMENTS::TER3-1-attrib
219,FUZZY-REQUIREMENTS::TER4-1-attrib
220,FUZZY-REQUIREMENTS::TER5-1-attrib
